131,106,128,2022-09-21 1:13:53 PM +00:00,,,,,
131,105,129,2022-09-21 1:13:53 PM +00:00,,,,,
131,105,128,2022-09-21 1:13:53 PM +00:00,,,,,
132,105,129,2022-09-21 1:13:53 PM +00:00,,,,,
132,105,128,2022-09-21 1:13:54 PM +00:00,,,,,
132,105,128,2022-09-21 1:13:54 PM +00:00,,,,,
133,105,128,2022-09-21 1:13:54 PM +00:00,,,,,
131,105,128,2022-09-21 1:13:54 PM +00:00,,,,,
132,105,129,2022-09-21 1:13:54 PM +00:00,,,,,
132,105,129,2022-09-21 1:13:54 PM +00:00,,,,,
132,106,128,2022-09-21 1:13:54 PM +00:00,,,,,
133,105,128,2022-09-21 1:13:54 PM +00:00,,,,,
132,106,128,2022-09-21 1:13:54 PM +00:00,,,,,
132,105,128,2022-09-21 1:13:54 PM +00:00,,,,,
134,105,126,2022-09-21 1:13:54 PM +00:00,,,,,
136,102,125,2022-09-21 1:13:54 PM +00:00,,,,,
159,84,109,2022-09-21 1:13:54 PM +00:00,,,,,
243,116,140,2022-09-21 1:13:54 PM +00:00,,,,,
185,135,156,2022-09-21 1:13:54 PM +00:00,,,,,
69,141,106,2022-09-21 1:13:54 PM +00:00,,,,,
19,127,159,2022-09-21 1:13:54 PM +00:00,,,,,
125,92,109,2022-09-21 1:13:54 PM +00:00,,,,,
184,109,121,2022-09-21 1:13:54 PM +00:00,,,,,
77,119,160,2022-09-21 1:13:54 PM +00:00,,,,,
131,96,111,2022-09-21 1:13:54 PM +00:00,,,,,
163,110,121,2022-09-21 1:13:54 PM +00:00,,,,,
108,110,140,2022-09-21 1:13:54 PM +00:00,,,,,
132,102,124,2022-09-21 1:13:54 PM +00:00,,,,,
142,105,125,2022-09-21 1:13:55 PM +00:00,,,,,
124,109,130,2022-09-21 1:13:55 PM +00:00,,,,,
131,105,127,2022-09-21 1:13:55 PM +00:00,,,,,
138,106,124,2022-09-21 1:13:55 PM +00:00,,,,,
